0,1,2,3,4,5,6,7,8,9
"('Walc <= 1.00', 0.3726078009785274)","('Dalc <= 1.00', 0.22763841139720575)","('studytime > 2.00', 0.11008100399972566)","('Mjob > 3.00', -0.09870018635051402)","('health <= 2.00', 0.07946355763935795)","('famrel <= 4.00', 0.07923131956692674)","('famsup <= 0.00', -0.06615757756344326)","('age <= 16.00', -0.06378266801243122)","('2.00 < Medu <= 4.00', -0.06041667348398289)","('0.00 < activities <= 1.00', -0.059159642297396085)"
"('Dalc <= 1.00', 0.21737612441021822)","('Mjob <= 1.00', 0.08446874284607238)","('famrel <= 4.00', 0.08279147505545431)","('Medu <= 2.00', 0.07232604639079113)","('famsup <= 0.00', -0.07118283878126919)","('romantic <= 0.00', -0.06252203628531043)","('activities <= 0.00', 0.06164329621382537)","('failures <= 0.00', 0.043158019257016574)","('17.00 < age <= 18.00', 0.04221108819348136)","('1.00 < studytime <= 2.00', 0.03478332201856226)"
"('2.00 < Walc <= 3.00', -0.1644646203223056)","('1.00 < Dalc <= 2.00', -0.10467535643728974)","('famsup <= 0.00', -0.08058816943070722)","('Mjob <= 1.00', 0.07820962263877357)","('famrel <= 4.00', 0.07080690995811421)","('age <= 16.00', -0.05994847704833562)","('romantic <= 0.00', -0.05778599834297116)","('Medu <= 2.00', 0.057474054480477245)","('freetime <= 3.00', 0.0563905203250955)","('activities <= 0.00', 0.05495361026907911)"
"('Walc <= 1.00', 0.3777577188578935)","('Dalc <= 1.00', 0.22638532371067246)","('studytime > 2.00', 0.11293701315394013)","('Mjob <= 1.00', 0.07656052369202737)","('4.00 < famrel <= 5.00', -0.07540962892549735)","('G2 > 13.00', 0.07320527496633204)","('famsup <= 0.00', -0.06576859471032233)","('Medu <= 2.00', 0.062306184305122726)","('freetime <= 3.00', 0.060230516829266716)","('romantic <= 0.00', -0.05853944985969126)"
"('Walc > 3.00', -0.3756600632315493)","('Dalc <= 1.00', 0.2283072575027298)","('Mjob > 3.00', -0.09088223127048027)","('4.00 < famrel <= 5.00', -0.07852325216804838)","('4.00 < health <= 5.00', -0.07696052043393231)","('0.00 < famsup <= 1.00', 0.07174545659431289)","('2.00 < Medu <= 4.00', -0.06408803535762776)","('activities <= 0.00', 0.05875588650273263)","('freetime <= 3.00', 0.05841361380527338)","('0.00 < romantic <= 1.00', 0.05585910795218595)"
"('Dalc <= 1.00', 0.21232036516734143)","('2.00 < Walc <= 3.00', -0.1721433517551844)","('studytime > 2.00', 0.11265251795859463)","('famrel <= 4.00', 0.09050772237977318)","('4.00 < health <= 5.00', -0.07723518521215647)","('0.00 < famsup <= 1.00', 0.06555364994508789)","('2.00 < Medu <= 4.00', -0.06028964170818166)","('freetime <= 3.00', 0.053976269434605734)","('0.00 < activities <= 1.00', -0.05325538306751809)","('failures <= 0.00', 0.05199254104900362)"
"('Dalc <= 1.00', 0.22741889207258656)","('studytime <= 1.00', -0.1298027952466991)","('health <= 2.00', 0.09118164348560608)","('famrel <= 4.00', 0.07996391474303244)","('romantic <= 0.00', -0.07317122500545371)","('Medu <= 2.00', 0.06265893894523439)","('freetime <= 3.00', 0.058716576275501677)","('age <= 16.00', -0.0526083118876619)","('0.00 < famsup <= 1.00', 0.05151776401175896)","('0.00 < activities <= 1.00', -0.04932939450636164)"
"('Dalc <= 1.00', 0.22338664597003718)","('studytime > 2.00', 0.12197849938200368)","('4.00 < famrel <= 5.00', -0.07814890548329985)","('4.00 < health <= 5.00', -0.06977816504734355)","('Medu <= 2.00', 0.06803515231308259)","('romantic <= 0.00', -0.06711807665480404)","('2.00 < Mjob <= 3.00', -0.06397346957777084)","('famsup <= 0.00', -0.06271395922462827)","('goout <= 2.00', -0.05057389281270699)","('0.00 < activities <= 1.00', -0.05022122678141534)"
"('Dalc <= 1.00', 0.22747674811936833)","('2.00 < Walc <= 3.00', -0.16459512407996763)","('studytime > 2.00', 0.11006382872235469)","('famrel <= 4.00', 0.08605412471074209)","('0.00 < romantic <= 1.00', 0.06373116714609572)","('0.00 < famsup <= 1.00', 0.06061569595691932)","('age <= 16.00', -0.05531706486240701)","('freetime <= 3.00', 0.05473047375552157)","('2.00 < Medu <= 4.00', -0.05353618376490469)","('failures <= 0.00', 0.05261646694106883)"
"('studytime <= 1.00', -0.13340085719352027)","('1.00 < Dalc <= 2.00', -0.12039863276972466)","('0.00 < famsup <= 1.00', 0.0851783013852602)","('famrel <= 4.00', 0.07133314341355816)","('G2 > 13.00', 0.060136530061791725)","('0.00 < romantic <= 1.00', 0.05959281451888976)","('Medu <= 2.00', 0.054361243262964765)","('0.00 < activities <= 1.00', -0.05117065104054374)","('0.00 < famsize <= 1.00', -0.050378322293384535)","('age <= 16.00', -0.05001141071075776)"
